connection_id,source_id,target_id,relationship,weight,anomaly_flagged,attack_stage,timestamp,bytes_transferred,protocol,dest_port,session_id,is_breach_path,description
conn_001,node_api_gw,node_host_01,CALLS,0.89,True,3,2024-01-15T08:05:26.365608Z,284520,HTTPS,443,81b68b42-4b89-4d5c-8707-907dd6ea1b18,True,Compromised API gateway initiates lateral call to web-prod-01 using stolen session token.
conn_002,node_host_01,node_container_7,DEPLOYS,0.74,True,4,2024-01-15T08:37:05.250968Z,12048,K8S_API,6443,bf24bbbd-5ecb-4b43-8622-246dc618ff92,True,web-prod-01 deploys unauthorized workload to svc-cluster-7 using overprivileged k8s service account.
conn_003,node_container_7,node_user_svc7,AUTHENTICATES,0.68,True,4,2024-01-15T08:58:45.003518Z,4096,OAuth2,443,a824c88c-de02-4bcb-96ac-1e2d6358d667,True,Container assumes svc_account_7 IAM identity via OIDC token exchange with elevated scope.
conn_004,node_user_svc7,node_db_customer,ACCESSES,0.91,True,5,2024-01-15T09:14:43.392644Z,1073741824,PostgreSQL,5432,cbe91e7f-e5b7-42ca-bdd0-767cd7f7d8db,True,"svc_account_7 executes 47,000 SELECT queries against customer_pii.users table. 1GB data staged."
conn_005,node_user_svc7,node_db_prod01,ACCESSES,0.82,True,5,2024-01-15T09:23:51.282409Z,524288000,PostgreSQL,5432,0672ff46-ebe6-4539-9315-053e5f2518a8,True,Session token scope violation — VendorX API gateway token authenticates against prod-db-01.
conn_006,node_host_02,node_container_7,CONNECTS,0.55,False,0,2024-01-15T07:30:42.407877Z,8192,gRPC,8080,091e91f9-a21d-4692-b9d3-28f8a069d723,False,Normal application connectivity between app-prod-02 and compute cluster.
conn_007,node_role_dbreader,node_db_customer,ACCESSES,0.61,True,5,2024-01-15T09:18:33.687183Z,209715200,PostgreSQL,5432,8616b6f1-6bf6-454c-aade-ddd923a8fbd9,True,db_reader role used via svc_account_7 for elevated READ access across customer tables.
conn_008,node_api_gw,node_host_02,CALLS,0.45,False,0,2024-01-15T06:57:31.297980Z,1048576,HTTPS,8080,ac883bc6-3a1e-4417-8fc0-ca8b367df235,False,Normal API gateway routing to application layer.
conn_009,node_api_paystream,node_host_04,CALLS,0.42,False,2,2024-01-15T07:18:20.630618Z,2097152,HTTPS,443,0acce4ca-8ff5-460d-9f0f-536e887c2ffa,False,PayStream API routing — elevated volume but no confirmed breach.
conn_010,node_host_04,node_db_customer,CONNECTS,0.28,False,0,2024-01-15T07:23:19.151333Z,131072,PostgreSQL,5432,8a1bc30b-3243-49dd-aed4-2f0867743da6,False,Payment proxy → database read queries. Normal operational traffic.
conn_011,node_host_01,node_db_customer,ACCESSES,0.652,True,5,2024-01-15T09:11:07.118744Z,473396720,gRPC,22,7bce1129-1d21-48c5-ab87-9695a2d204a9,True,Telemetry record 11: Automated log from SIEM correlation engine.
