threat_id,title,severity,attack_stage,affected_vendor_id,affected_node_ids,ioc_type,ioc_value,ioc_confidence,source_feed,mitre_technique_id,blast_radius_score,financial_impact_usd,detected_at,contained_at,status,carag_hunt_id,description
threat_001,VendorX External Credential Compromise,critical,1,vendor_vendorx,node_api_gw,CREDENTIAL,vendorx_svc@api.vendorx.com,0.96,Crowdstrike Falcon Intel,T1078.001,0.89,4200000,2024-01-15T07:58:24.446960Z,,active,,VendorX service account credentials exfiltrated via phishing. Evidence of credential stuffing against 4 geographically dispersed IP blocks.
threat_002,API Gateway Session Token Reuse — Lateral Movement Init,critical,2,vendor_vendorx,"node_api_gw,node_host_01",SESSION_TOKEN,eyJhbGciOiJSUzI1NiIsInR5cCI6IkpXVCJ9.REDACTED,0.99,OAuth2 Token Introspection,T1550.001,0.92,6500000,2024-01-15T08:03:50.812062Z,,active,carag_001,Session token issued to VendorX API gateway reused across 4 IP addresses. Token scope violation detected authenticating against internal database clusters.
threat_003,Host Lateral Movement — web-prod-01 SSH Anomalies,high,3,vendor_vendorx,"node_host_01,node_host_02",IP,203.0.113.45,0.91,SIEM Correlation,T1021.004,0.74,850000,2024-01-15T08:09:21.589920Z,,active,carag_001,21 suspicious SSH authentication events originating from VendorX API gateway IP block against web-prod-01. Credential relay pattern confirmed.
threat_004,Container Privilege Escalation — svc-cluster-7,critical,4,vendor_acme,"node_container_7,node_user_svc7",PROCESS,nsenter --target 1 --mount --uts --ipc --net --pid,0.97,Falco Runtime Security,T1611,0.68,1800000,2024-01-15T08:39:27.438458Z,,active,carag_002,Unauthorized EXEC executed inside svc-cluster-7. Host path mount attempted — container escape confirmed. IAM boundary violation by svc_account_7.
threat_005,Unauthorized PII Database Access — Mass Exfiltration,critical,5,vendor_vendorx,"node_db_customer,node_db_prod01,node_user_svc7",QUERY_PATTERN,SELECT * FROM users LIMIT 10000 (47000x repetition),0.99,DataDog Database Monitoring,T1530,0.95,7800000,2024-01-15T09:17:33.177015Z,,active,carag_003,"47,000 SELECT queries against customer_pii.users table in 3-hour window. 280x above baseline. 1GB data volume staged for egress. Potential GDPR breach requiring regulatory notification."
threat_006,CARAG Active Discovery Hunt — Database Auth Schema,high,6,vendor_vendorx,"node_db_customer,node_db_prod01",BEHAVIORAL,DATABASE_AUTH_ANOMALY_PATTERN,0.87,TrustGraph CARAG Engine,T1213,0.82,0,2024-01-15T09:34:57.837864Z,,investigating,carag_003,CARAG pipeline iteration 3 — SPL query reformulated to target session-token lateral movement on database authentication schemas. Confidence score: 0.87. Blast radius locked to 4 nodes.
threat_007,VendorX API Key Revoked — Blast Radius Contained,medium,7,vendor_vendorx,node_api_gw,CONTAINMENT,API_KEY_REVOCATION_APPLIED,1.0,TrustGraph Mitigator Agent,M1017,0.12,0,2024-01-15T10:08:19.638538Z,2024-01-15T10:08:30Z,contained,carag_003,IAM role svc_account_7 suspended. VendorX API key revoked. customer_pii and prod-db-01 placed under network isolation policy. Egress blocked from 4 compromised nodes. CARAG investigation complete — final confidence: 0.91.
threat_008,Threat Intel Alert #8 — Anomalous Activity Detected,high,3,vendor_acme,node_host_01,HASH,IOC_VALUE_F8BAE767C2C84A28,0.898,Splunk Enterprise,T1190,0.23,1046433,2024-01-15T09:06:06.920095Z,,active,carag_002,Automated SIEM correlation trigger #8. Pattern matched against threat intel database.
threat_009,Threat Intel Alert #9 — Anomalous Activity Detected,low,3,vendor_acme,node_container_7,SESSION_TOKEN,IOC_VALUE_4B79EA3A021E480A,0.783,Splunk Enterprise,T1021,0.626,61628,2024-01-15T09:45:41.595408Z,,active,carag_002,Automated SIEM correlation trigger #9. Pattern matched against threat intel database.
threat_010,Threat Intel Alert #10 — Anomalous Activity Detected,high,3,vendor_acme,node_container_7,SESSION_TOKEN,IOC_VALUE_3F1EE000371846C4,0.619,Splunk Enterprise,T1190,0.497,1730692,2024-01-15T08:45:06.739021Z,,active,carag_002,Automated SIEM correlation trigger #10. Pattern matched against threat intel database.
